,Average Daily Returns,Beta Alpha,Sharpe Ratio,Piotroski F-Score,Revenue Growth,Earning per Share,Price to Earning,Debt to Equity,Free Cash Flow,Return on Equity,Dividend Yield
SSTM.JK,0.0005213590619686807,"{'beta': array([-0.074]), 'alpha': array([0.001])}",0.25,{},,,0.0,0.0,,,
STAA.JK,0.0004439564653188869,,0.32,"{'net_income': 410026000000.0, 'roa': 0.08067533169723641, 'op_revenue_v_net_income_margin': 3793921000000.0, 'current_ratio': 0.5751605386488053, 'percent_shares_outstanding': 0.2412152731531893}",-28.551934764578718,37.605332570832125,21.672458246842883,0.7431488956470538,,20.903216597121148,0.0
STAR.JK,-5.123706192208343e-05,"{'beta': array([0.071]), 'alpha': array([-0.])}",-0.03,"{'net_income': 5808132877.0, 'roa': 0.011673289833835091, 'lt_debt_decreased_percent': 100.0, 'current_ratio': 0.003453439913430795}",-24.524076662556926,1.2100276827083334,65.28776252720019,0.0017289549326154673,,1.1713763586583752,0.0
STRK.JK,-0.004221816188058454,,-0.54,{'op_revenue_v_net_income_margin': 13547893032.0},-39.86454367168076,-0.6956766611925596,-71.87247005568334,-0.09541048439477354,,16.523020272403983,0.0
STTP.JK,0.0007434734203622279,"{'beta': array([0.013]), 'alpha': array([0.001])}",0.35,"{'net_income': 628562854883.0, 'roa': 0.1822452175111277, 'op_revenue_v_net_income_margin': 3217737399942.0, 'current_ratio': 0.22490518173271573}",-9.325082557131276,479.81897319312975,20.841193363929246,0.004950352427791778,,23.78928121688553,0.8484
SUGI.JK,0.0,"{'beta': array([0.]), 'alpha': array([0.])}",,{},,,0.0,0.0,,,
SULI.JK,0.0018914221170148059,"{'beta': array([0.199]), 'alpha': array([0.002])}",0.69,{'op_revenue_v_net_income_margin': 73580987.0},-26.432446453159315,-0.003896903292703588,-32333.365889761124,-0.5305396332242934,,116.50499532519936,0.0
SUNI.JK,0.001184245618666062,,0.66,{},,,0.0,0.0,,,0.0
SUPR.JK,0.0029750751938676713,"{'beta': array([0.079]), 'alpha': array([0.003])}",1.33,"{'net_income': 189650000000.0, 'roa': 0.016999247784405976, 'op_revenue_v_net_income_margin': 1732501000000.0, 'current_ratio': 0.8373399211356806}",-7.409277131358187,166.713545126643,239.33268271447406,1.5628810026410205,,10.463119228802183,
SURE.JK,-0.0007049587257658001,"{'beta': array([0.028]), 'alpha': array([-0.001])}",-0.63,"{'op_revenue_v_net_income_margin': 355122530744.0, 'current_ratio': 0.44760779476292806}",-1.1052404663449125,-13.06526437713614,-114.80823936674098,4.166670785899067,,-19.35674118213982,0.0
SURI.JK,0.033613796021813705,,5.15,"{'net_income': 28823579996.0, 'roa': 0.13046360861268347, 'op_revenue_v_net_income_margin': 284549509479.0, 'current_ratio': 0.6976133259734498}",-7.320787742079163,,0.0,0.0,,43.144628986272224,0.0
SWAT.JK,9.346231931282349e-05,"{'beta': array([0.051]), 'alpha': array([0.])}",0.03,{},,,0.0,0.0,,,0.0
SWID.JK,-0.0020877290058591534,,-0.94,{},,,0.0,0.0,,,0.0
TALF.JK,0.0012737289701029947,"{'beta': array([0.027]), 'alpha': array([0.001])}",0.42,{},,,0.0,0.0,,,0.0
TAMA.JK,-0.002053465766197763,"{'beta': array([-0.086]), 'alpha': array([-0.002])}",-0.97,{},,,0.0,0.0,,,0.0
TAMU.JK,-0.001986863480788355,"{'beta': array([0.092]), 'alpha': array([-0.002])}",-0.97,"{'op_revenue_v_net_income_margin': 16150029.0, 'current_ratio': 0.5097578284742433}",33.77725941577047,-2.4779387850791015e-05,-282492.8542282994,0.61041094165216,,-2.310942619584262,
TAPG.JK,0.0015382091188565377,,0.78,"{'net_income': 911068000000.0, 'roa': 0.07392650257993164, 'op_revenue_v_net_income_margin': 4354717000000.0, 'current_ratio': 0.4598914148606334}",-16.12485132897205,45.89185011838734,12.638409619655175,0.1733064970704384,,14.083846894194766,2.6051724137931034
